28 sept. 2020 13:40:49
RngSeed: 1601293247328
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
185.0, 38.0, 236.0
185.0, 38.0, 236.0
186.0, 38.0, 236.0
187.0, 45.0, 235.0
188.0, 40.0, 235.0
189.0, 42.0, 243.0
190.0, 42.0, 243.0
190.0, 41.0, 245.0
191.0, 38.0, 239.0
192.0, 42.0, 237.0
193.0, 41.0, 235.0
194.0, 42.0, 232.0
195.0, 34.0, 232.0
195.0, 34.0, 232.0
196.0, 42.0, 232.0
197.0, 44.0, 233.0
198.0, 42.0, 232.0
199.0, 49.0, 231.0
200.0, 47.0, 232.0
200.0, 47.0, 232.0
201.0, 42.0, 238.0
202.0, 43.0, 241.0
203.0, 40.0, 240.0
204.0, 40.0, 243.0
205.0, 41.0, 236.0
205.0, 41.0, 236.0
206.0, 46.0, 233.0
207.0, 49.0, 233.0
208.0, 42.0, 232.0
209.0, 48.0, 233.0
210.0, 48.0, 233.0
210.0, 53.0, 234.0
211.0, 48.0, 229.0
212.0, 45.0, 230.0
213.0, 45.0, 231.0
214.0, 47.0, 230.0
215.0, 52.0, 226.0
215.0, 52.0, 226.0
216.0, 54.0, 222.0
217.0, 50.0, 224.0
218.0, 43.0, 227.0
219.0, 46.0, 228.0
220.0, 42.0, 234.0
220.0, 42.0, 234.0
221.0, 42.0, 233.0
222.0, 53.0, 227.0
223.0, 49.0, 226.0
224.0, 39.0, 229.0
225.0, 39.0, 229.0
225.0, 38.0, 227.0
226.0, 39.0, 228.0
227.0, 39.0, 231.0
228.0, 43.0, 235.0
229.0, 40.0, 234.0
230.0, 40.0, 234.0
230.0, 39.0, 233.0
231.0, 41.0, 235.0
232.0, 42.0, 238.0
233.0, 37.0, 236.0
234.0, 39.0, 240.0
235.0, 39.0, 240.0
235.0, 42.0, 237.0
236.0, 31.0, 235.0
237.0, 36.0, 236.0
238.0, 40.0, 240.0
239.0, 38.0, 243.0
240.0, 38.0, 237.0
240.0, 38.0, 237.0
241.0, 35.0, 241.0
242.0, 33.0, 243.0
243.0, 34.0, 241.0
244.0, 41.0, 242.0
245.0, 40.0, 245.0
245.0, 40.0, 245.0
246.0, 42.0, 242.0
247.0, 43.0, 241.0
248.0, 40.0, 242.0
249.0, 39.0, 243.0
250.0, 39.0, 243.0
250.0, 41.0, 247.0
251.0, 42.0, 244.0
252.0, 46.0, 243.0
253.0, 47.0, 245.0
254.0, 41.0, 244.0
255.0, 41.0, 244.0
255.0, 36.0, 242.0
256.0, 35.0, 238.0
257.0, 34.0, 235.0
258.0, 37.0, 229.0
259.0, 37.0, 231.0
260.0, 37.0, 231.0
260.0, 44.0, 231.0
261.0, 43.0, 232.0
262.0, 43.0, 235.0
263.0, 47.0, 236.0
264.0, 48.0, 234.0
265.0, 48.0, 234.0
265.0, 46.0, 231.0
266.0, 44.0, 230.0
267.0, 44.0, 228.0
268.0, 49.0, 230.0
269.0, 45.0, 227.0
270.0, 45.0, 227.0
270.0, 47.0, 231.0
271.0, 46.0, 233.0
272.0, 38.0, 235.0
273.0, 40.0, 233.0
274.0, 42.0, 237.0
275.0, 41.0, 237.0
275.0, 41.0, 237.0
276.0, 41.0, 237.0
277.0, 42.0, 239.0
278.0, 45.0, 238.0
279.0, 50.0, 241.0
280.0, 50.0, 241.0
280.0, 46.0, 242.0
281.0, 41.0, 236.0
282.0, 48.0, 238.0
283.0, 43.0, 241.0
284.0, 46.0, 244.0
285.0, 38.0, 246.0
