"tick", "Number of grass tile", "Number of rabbits"
1.0, 141.0, 28.0
2.0, 178.0, 27.0
3.0, 178.0, 27.0
4.0, 209.0, 28.0
5.0, 236.0, 29.0
6.0, 268.0, 33.0
7.0, 312.0, 44.0
8.0, 316.0, 53.0
9.0, 316.0, 53.0
10.0, 316.0, 64.0
11.0, 274.0, 95.0
12.0, 274.0, 95.0
13.0, 204.0, 139.0
14.0, 174.0, 154.0
15.0, 174.0, 154.0
16.0, 154.0, 175.0
17.0, 131.0, 192.0
18.0, 81.0, 219.0
19.0, 81.0, 219.0
20.0, 67.0, 227.0
21.0, 70.0, 236.0
22.0, 55.0, 245.0
23.0, 44.0, 238.0
24.0, 44.0, 238.0
25.0, 33.0, 257.0
26.0, 26.0, 261.0
27.0, 31.0, 266.0
28.0, 35.0, 263.0
29.0, 31.0, 264.0
30.0, 31.0, 264.0
31.0, 30.0, 262.0
32.0, 30.0, 262.0
33.0, 32.0, 264.0
34.0, 40.0, 255.0
35.0, 44.0, 253.0
36.0, 38.0, 250.0
37.0, 38.0, 250.0
38.0, 42.0, 251.0
39.0, 46.0, 248.0
40.0, 46.0, 248.0
41.0, 40.0, 238.0
42.0, 44.0, 237.0
43.0, 44.0, 237.0
44.0, 45.0, 237.0
45.0, 42.0, 236.0
46.0, 44.0, 231.0
47.0, 37.0, 231.0
48.0, 37.0, 231.0
49.0, 38.0, 231.0
50.0, 44.0, 234.0
51.0, 44.0, 234.0
52.0, 44.0, 233.0
53.0, 41.0, 233.0
54.0, 41.0, 238.0
55.0, 41.0, 238.0
56.0, 46.0, 239.0
57.0, 43.0, 236.0
58.0, 35.0, 241.0
59.0, 35.0, 241.0
60.0, 40.0, 236.0
61.0, 40.0, 236.0
62.0, 48.0, 234.0
63.0, 48.0, 234.0
64.0, 48.0, 227.0
65.0, 41.0, 233.0
66.0, 41.0, 233.0
67.0, 53.0, 230.0
68.0, 52.0, 234.0
69.0, 52.0, 234.0
70.0, 48.0, 231.0
71.0, 35.0, 232.0
72.0, 39.0, 233.0
73.0, 44.0, 237.0
74.0, 46.0, 237.0
75.0, 53.0, 235.0
76.0, 53.0, 235.0
77.0, 54.0, 231.0
78.0, 53.0, 233.0
79.0, 47.0, 232.0
80.0, 43.0, 236.0
81.0, 43.0, 236.0
82.0, 42.0, 228.0
83.0, 51.0, 230.0
84.0, 51.0, 230.0
85.0, 43.0, 228.0
86.0, 50.0, 226.0
87.0, 48.0, 228.0
88.0, 54.0, 229.0
89.0, 51.0, 229.0
90.0, 51.0, 229.0
91.0, 50.0, 234.0
92.0, 50.0, 232.0
93.0, 54.0, 237.0
94.0, 53.0, 237.0
95.0, 53.0, 237.0
96.0, 39.0, 239.0
97.0, 37.0, 242.0
98.0, 37.0, 242.0
99.0, 43.0, 243.0
100.0, 43.0, 243.0
101.0, 40.0, 244.0
102.0, 40.0, 244.0
103.0, 42.0, 244.0
104.0, 45.0, 243.0
105.0, 45.0, 243.0
106.0, 37.0, 244.0
107.0, 34.0, 237.0
108.0, 28.0, 240.0
109.0, 28.0, 245.0
110.0, 28.0, 245.0
111.0, 36.0, 245.0
112.0, 36.0, 245.0
113.0, 37.0, 244.0
114.0, 37.0, 244.0
115.0, 35.0, 240.0
116.0, 36.0, 241.0
117.0, 39.0, 236.0
118.0, 39.0, 236.0
119.0, 38.0, 238.0
120.0, 38.0, 238.0
121.0, 32.0, 239.0
122.0, 31.0, 239.0
123.0, 35.0, 239.0
124.0, 35.0, 239.0
125.0, 32.0, 240.0
126.0, 32.0, 240.0
127.0, 35.0, 240.0
128.0, 37.0, 239.0
129.0, 37.0, 239.0
130.0, 37.0, 238.0
131.0, 40.0, 236.0
132.0, 42.0, 232.0
133.0, 41.0, 234.0
134.0, 41.0, 234.0
135.0, 37.0, 236.0
136.0, 37.0, 236.0
137.0, 30.0, 235.0
138.0, 36.0, 234.0
139.0, 36.0, 234.0
140.0, 39.0, 233.0
141.0, 47.0, 231.0
142.0, 47.0, 231.0
143.0, 43.0, 232.0
144.0, 41.0, 238.0
145.0, 41.0, 238.0
146.0, 37.0, 237.0
147.0, 37.0, 237.0
148.0, 39.0, 237.0
149.0, 32.0, 232.0
150.0, 33.0, 231.0
151.0, 33.0, 231.0
152.0, 41.0, 232.0
153.0, 32.0, 231.0
154.0, 37.0, 234.0
155.0, 37.0, 234.0
156.0, 40.0, 230.0
157.0, 41.0, 230.0
158.0, 44.0, 230.0
159.0, 45.0, 231.0
160.0, 42.0, 231.0
161.0, 42.0, 231.0
162.0, 46.0, 227.0
163.0, 39.0, 231.0
164.0, 34.0, 228.0
165.0, 34.0, 228.0
166.0, 38.0, 227.0
167.0, 42.0, 233.0
168.0, 49.0, 230.0
169.0, 46.0, 228.0
170.0, 48.0, 227.0
171.0, 48.0, 227.0
172.0, 48.0, 225.0
173.0, 45.0, 226.0
174.0, 49.0, 230.0
175.0, 49.0, 230.0
176.0, 46.0, 230.0
177.0, 40.0, 240.0
