"tick", "Number of grass tile", "Number of rabbits"
1.0, 138.0, 43.0
2.0, 171.0, 44.0
3.0, 171.0, 44.0
4.0, 194.0, 58.0
5.0, 211.0, 69.0
6.0, 211.0, 84.0
7.0, 175.0, 135.0
8.0, 133.0, 175.0
9.0, 133.0, 175.0
10.0, 93.0, 227.0
11.0, 36.0, 281.0
12.0, 36.0, 281.0
13.0, 16.0, 302.0
14.0, 18.0, 304.0
15.0, 18.0, 304.0
16.0, 19.0, 287.0
17.0, 23.0, 270.0
18.0, 33.0, 244.0
19.0, 33.0, 244.0
20.0, 30.0, 239.0
21.0, 23.0, 231.0
22.0, 43.0, 229.0
23.0, 32.0, 224.0
24.0, 32.0, 224.0
25.0, 39.0, 234.0
26.0, 35.0, 222.0
27.0, 45.0, 224.0
28.0, 42.0, 221.0
29.0, 41.0, 219.0
30.0, 41.0, 219.0
31.0, 46.0, 228.0
32.0, 46.0, 228.0
33.0, 50.0, 228.0
34.0, 46.0, 222.0
35.0, 41.0, 220.0
36.0, 39.0, 228.0
37.0, 39.0, 228.0
38.0, 37.0, 235.0
39.0, 32.0, 246.0
40.0, 32.0, 246.0
41.0, 34.0, 239.0
42.0, 36.0, 232.0
43.0, 36.0, 232.0
44.0, 42.0, 231.0
45.0, 40.0, 223.0
46.0, 44.0, 225.0
47.0, 42.0, 227.0
48.0, 42.0, 227.0
49.0, 42.0, 228.0
50.0, 38.0, 222.0
51.0, 43.0, 226.0
52.0, 41.0, 223.0
53.0, 39.0, 229.0
54.0, 36.0, 231.0
55.0, 36.0, 231.0
56.0, 34.0, 229.0
57.0, 40.0, 235.0
58.0, 45.0, 234.0
59.0, 45.0, 234.0
60.0, 44.0, 230.0
61.0, 44.0, 230.0
62.0, 38.0, 231.0
63.0, 38.0, 231.0
64.0, 34.0, 231.0
65.0, 37.0, 229.0
66.0, 37.0, 229.0
67.0, 38.0, 224.0
68.0, 38.0, 226.0
69.0, 38.0, 226.0
70.0, 38.0, 222.0
71.0, 39.0, 225.0
72.0, 42.0, 223.0
73.0, 46.0, 221.0
74.0, 45.0, 224.0
75.0, 44.0, 223.0
76.0, 44.0, 223.0
77.0, 46.0, 232.0
78.0, 47.0, 238.0
79.0, 42.0, 230.0
80.0, 27.0, 238.0
81.0, 27.0, 238.0
82.0, 35.0, 235.0
83.0, 31.0, 239.0
84.0, 31.0, 239.0
85.0, 41.0, 243.0
86.0, 31.0, 239.0
87.0, 34.0, 235.0
88.0, 36.0, 233.0
89.0, 32.0, 235.0
90.0, 32.0, 235.0
91.0, 41.0, 236.0
92.0, 30.0, 229.0
93.0, 38.0, 230.0
94.0, 43.0, 222.0
95.0, 43.0, 222.0
96.0, 43.0, 229.0
97.0, 44.0, 225.0
98.0, 44.0, 225.0
99.0, 43.0, 231.0
100.0, 43.0, 231.0
101.0, 42.0, 224.0
102.0, 42.0, 224.0
103.0, 51.0, 221.0
104.0, 43.0, 227.0
105.0, 43.0, 227.0
106.0, 41.0, 223.0
107.0, 45.0, 229.0
108.0, 41.0, 239.0
109.0, 36.0, 242.0
110.0, 36.0, 242.0
111.0, 25.0, 247.0
112.0, 25.0, 247.0
113.0, 21.0, 253.0
114.0, 21.0, 253.0
115.0, 28.0, 243.0
116.0, 34.0, 241.0
117.0, 38.0, 230.0
