"tick", "Number of grass tile", "Number of rabbits"
1.0, 141.0, 28.0
2.0, 175.0, 31.0
3.0, 175.0, 31.0
4.0, 203.0, 37.0
5.0, 230.0, 47.0
6.0, 244.0, 61.0
7.0, 241.0, 100.0
8.0, 218.0, 125.0
9.0, 218.0, 125.0
10.0, 183.0, 167.0
11.0, 102.0, 246.0
12.0, 102.0, 246.0
13.0, 30.0, 321.0
14.0, 18.0, 328.0
15.0, 18.0, 328.0
16.0, 13.0, 327.0
17.0, 12.0, 333.0
18.0, 8.0, 338.0
19.0, 8.0, 338.0
20.0, 10.0, 340.0
21.0, 11.0, 340.0
22.0, 9.0, 341.0
23.0, 11.0, 345.0
24.0, 11.0, 345.0
25.0, 2.0, 343.0
26.0, 9.0, 340.0
27.0, 8.0, 332.0
28.0, 9.0, 332.0
29.0, 8.0, 332.0
30.0, 8.0, 332.0
31.0, 9.0, 336.0
32.0, 9.0, 336.0
33.0, 9.0, 340.0
34.0, 5.0, 348.0
35.0, 5.0, 346.0
36.0, 4.0, 340.0
37.0, 4.0, 340.0
38.0, 7.0, 334.0
39.0, 6.0, 337.0
40.0, 6.0, 337.0
41.0, 10.0, 333.0
42.0, 9.0, 332.0
43.0, 9.0, 332.0
44.0, 11.0, 332.0
45.0, 9.0, 325.0
46.0, 11.0, 331.0
47.0, 12.0, 334.0
48.0, 12.0, 334.0
49.0, 12.0, 325.0
50.0, 13.0, 322.0
51.0, 16.0, 323.0
52.0, 12.0, 321.0
53.0, 12.0, 324.0
54.0, 12.0, 328.0
55.0, 12.0, 328.0
56.0, 13.0, 325.0
57.0, 13.0, 331.0
58.0, 12.0, 329.0
59.0, 12.0, 329.0
60.0, 14.0, 329.0
61.0, 14.0, 329.0
62.0, 12.0, 326.0
63.0, 12.0, 326.0
64.0, 11.0, 327.0
65.0, 3.0, 331.0
66.0, 3.0, 331.0
67.0, 11.0, 340.0
68.0, 12.0, 340.0
69.0, 12.0, 340.0
70.0, 12.0, 335.0
71.0, 6.0, 340.0
72.0, 9.0, 336.0
73.0, 10.0, 337.0
74.0, 13.0, 336.0
75.0, 9.0, 333.0
76.0, 9.0, 333.0
77.0, 12.0, 335.0
78.0, 13.0, 332.0
79.0, 15.0, 331.0
80.0, 9.0, 334.0
81.0, 9.0, 334.0
82.0, 8.0, 342.0
83.0, 12.0, 338.0
84.0, 12.0, 338.0
85.0, 8.0, 334.0
86.0, 5.0, 334.0
87.0, 5.0, 334.0
88.0, 7.0, 336.0
89.0, 10.0, 333.0
90.0, 10.0, 333.0
91.0, 14.0, 333.0
92.0, 10.0, 333.0
93.0, 14.0, 331.0
94.0, 14.0, 324.0
95.0, 14.0, 324.0
96.0, 9.0, 333.0
97.0, 14.0, 331.0
98.0, 14.0, 331.0
99.0, 9.0, 330.0
100.0, 9.0, 330.0
101.0, 8.0, 324.0
102.0, 8.0, 324.0
103.0, 12.0, 324.0
104.0, 9.0, 331.0
105.0, 9.0, 331.0
106.0, 7.0, 329.0
107.0, 9.0, 329.0
108.0, 15.0, 325.0
109.0, 13.0, 324.0
110.0, 13.0, 324.0
111.0, 9.0, 330.0
112.0, 9.0, 330.0
113.0, 6.0, 336.0
114.0, 6.0, 336.0
115.0, 6.0, 332.0
