"tick", "Number of grass tile", "Number of rabbits"
1.0, 130.0, 57.0
2.0, 149.0, 76.0
3.0, 149.0, 76.0
4.0, 159.0, 90.0
5.0, 158.0, 122.0
6.0, 143.0, 152.0
7.0, 71.0, 240.0
8.0, 41.0, 275.0
9.0, 41.0, 275.0
10.0, 25.0, 293.0
11.0, 9.0, 291.0
12.0, 9.0, 291.0
13.0, 19.0, 254.0
14.0, 26.0, 234.0
15.0, 26.0, 234.0
16.0, 28.0, 221.0
17.0, 29.0, 207.0
18.0, 37.0, 213.0
19.0, 37.0, 213.0
20.0, 30.0, 213.0
21.0, 28.0, 225.0
22.0, 31.0, 226.0
23.0, 31.0, 225.0
24.0, 31.0, 225.0
25.0, 31.0, 220.0
26.0, 37.0, 219.0
27.0, 35.0, 220.0
28.0, 36.0, 224.0
29.0, 36.0, 228.0
30.0, 36.0, 228.0
31.0, 44.0, 217.0
32.0, 44.0, 217.0
33.0, 46.0, 212.0
34.0, 48.0, 218.0
35.0, 45.0, 223.0
36.0, 37.0, 222.0
37.0, 37.0, 222.0
38.0, 37.0, 228.0
39.0, 41.0, 229.0
40.0, 41.0, 229.0
41.0, 44.0, 222.0
42.0, 35.0, 227.0
43.0, 35.0, 227.0
44.0, 30.0, 238.0
45.0, 35.0, 233.0
46.0, 32.0, 227.0
47.0, 33.0, 229.0
48.0, 33.0, 229.0
49.0, 36.0, 220.0
50.0, 38.0, 222.0
51.0, 37.0, 214.0
52.0, 40.0, 209.0
53.0, 35.0, 202.0
54.0, 42.0, 216.0
55.0, 42.0, 216.0
56.0, 38.0, 205.0
57.0, 35.0, 222.0
58.0, 30.0, 226.0
59.0, 30.0, 226.0
60.0, 30.0, 232.0
61.0, 30.0, 232.0
62.0, 29.0, 235.0
63.0, 29.0, 235.0
64.0, 31.0, 230.0
65.0, 31.0, 227.0
66.0, 31.0, 227.0
67.0, 39.0, 213.0
68.0, 47.0, 210.0
69.0, 47.0, 210.0
70.0, 46.0, 213.0
71.0, 39.0, 212.0
72.0, 37.0, 209.0
73.0, 43.0, 216.0
74.0, 41.0, 219.0
75.0, 28.0, 227.0
76.0, 28.0, 227.0
77.0, 32.0, 235.0
78.0, 38.0, 225.0
79.0, 40.0, 224.0
80.0, 33.0, 215.0
81.0, 33.0, 215.0
82.0, 39.0, 222.0
83.0, 42.0, 218.0
84.0, 42.0, 218.0
85.0, 38.0, 227.0
86.0, 42.0, 229.0
87.0, 42.0, 233.0
88.0, 41.0, 233.0
89.0, 38.0, 226.0
90.0, 38.0, 226.0
91.0, 26.0, 227.0
92.0, 28.0, 231.0
93.0, 29.0, 230.0
94.0, 39.0, 226.0
95.0, 39.0, 226.0
96.0, 35.0, 231.0
97.0, 30.0, 221.0
98.0, 30.0, 221.0
99.0, 35.0, 225.0
100.0, 35.0, 225.0
101.0, 35.0, 232.0
102.0, 35.0, 232.0
103.0, 30.0, 236.0
104.0, 23.0, 234.0
105.0, 23.0, 234.0
106.0, 34.0, 233.0
107.0, 39.0, 228.0
108.0, 35.0, 221.0
109.0, 40.0, 214.0
110.0, 40.0, 214.0
111.0, 44.0, 211.0
112.0, 44.0, 211.0
113.0, 41.0, 221.0
114.0, 41.0, 221.0
115.0, 40.0, 221.0
116.0, 38.0, 226.0
117.0, 32.0, 235.0
118.0, 32.0, 235.0
119.0, 43.0, 219.0
120.0, 43.0, 219.0
121.0, 37.0, 217.0
122.0, 42.0, 216.0
123.0, 47.0, 212.0
124.0, 47.0, 212.0
125.0, 44.0, 222.0
126.0, 44.0, 222.0
127.0, 40.0, 217.0
128.0, 37.0, 221.0
129.0, 37.0, 221.0
130.0, 36.0, 232.0
131.0, 31.0, 228.0
132.0, 40.0, 225.0
133.0, 44.0, 226.0
134.0, 44.0, 226.0
135.0, 40.0, 220.0
136.0, 40.0, 220.0
137.0, 28.0, 235.0
138.0, 34.0, 231.0
139.0, 34.0, 231.0
140.0, 35.0, 230.0
141.0, 35.0, 222.0
142.0, 35.0, 222.0
143.0, 34.0, 238.0
144.0, 37.0, 233.0
145.0, 37.0, 233.0
146.0, 38.0, 226.0
147.0, 38.0, 226.0
148.0, 28.0, 224.0
149.0, 36.0, 226.0
150.0, 39.0, 229.0
151.0, 39.0, 229.0
152.0, 31.0, 224.0
153.0, 36.0, 223.0
154.0, 41.0, 227.0
155.0, 41.0, 227.0
156.0, 44.0, 222.0
157.0, 44.0, 217.0
158.0, 36.0, 214.0
159.0, 36.0, 230.0
160.0, 23.0, 237.0
161.0, 23.0, 237.0
162.0, 28.0, 234.0
163.0, 27.0, 232.0
164.0, 31.0, 230.0
165.0, 31.0, 230.0
166.0, 31.0, 232.0
167.0, 36.0, 206.0
168.0, 37.0, 215.0
169.0, 37.0, 222.0
170.0, 38.0, 227.0
171.0, 38.0, 227.0
172.0, 41.0, 220.0
173.0, 41.0, 209.0
174.0, 43.0, 222.0
175.0, 43.0, 222.0
176.0, 44.0, 212.0
177.0, 50.0, 210.0
178.0, 43.0, 217.0
179.0, 43.0, 217.0
180.0, 49.0, 220.0
181.0, 37.0, 217.0
182.0, 37.0, 217.0
183.0, 39.0, 236.0
184.0, 39.0, 236.0
185.0, 31.0, 226.0
186.0, 31.0, 226.0
187.0, 38.0, 224.0
188.0, 41.0, 216.0
189.0, 39.0, 216.0
190.0, 30.0, 218.0
191.0, 30.0, 218.0
192.0, 32.0, 220.0
193.0, 38.0, 215.0
194.0, 41.0, 224.0
195.0, 41.0, 224.0
196.0, 36.0, 223.0
197.0, 37.0, 223.0
198.0, 35.0, 224.0
199.0, 37.0, 224.0
200.0, 41.0, 230.0
201.0, 36.0, 218.0
202.0, 31.0, 229.0
203.0, 29.0, 240.0
204.0, 29.0, 240.0
205.0, 29.0, 233.0
206.0, 29.0, 233.0
207.0, 29.0, 231.0
208.0, 30.0, 239.0
209.0, 30.0, 239.0
210.0, 30.0, 231.0
211.0, 37.0, 224.0
212.0, 30.0, 216.0
213.0, 29.0, 221.0
214.0, 33.0, 227.0
215.0, 37.0, 223.0
216.0, 37.0, 223.0
217.0, 40.0, 216.0
218.0, 37.0, 217.0
219.0, 32.0, 230.0
220.0, 32.0, 230.0
221.0, 32.0, 222.0
222.0, 42.0, 228.0
223.0, 40.0, 216.0
224.0, 40.0, 216.0
225.0, 35.0, 218.0
226.0, 47.0, 207.0
227.0, 47.0, 207.0
228.0, 44.0, 213.0
229.0, 49.0, 212.0
230.0, 49.0, 212.0
231.0, 39.0, 227.0
232.0, 39.0, 227.0
233.0, 32.0, 235.0
234.0, 32.0, 235.0
235.0, 28.0, 236.0
236.0, 32.0, 235.0
237.0, 32.0, 235.0
238.0, 26.0, 226.0
239.0, 26.0, 226.0
240.0, 36.0, 222.0
241.0, 32.0, 219.0
242.0, 32.0, 219.0
243.0, 23.0, 230.0
244.0, 23.0, 230.0
245.0, 31.0, 229.0
246.0, 31.0, 229.0
247.0, 39.0, 215.0
248.0, 46.0, 211.0
249.0, 38.0, 211.0
250.0, 33.0, 222.0
251.0, 33.0, 222.0
252.0, 37.0, 225.0
253.0, 31.0, 219.0
254.0, 37.0, 226.0
255.0, 39.0, 226.0
256.0, 35.0, 213.0
257.0, 35.0, 213.0
258.0, 37.0, 225.0
259.0, 30.0, 223.0
260.0, 30.0, 223.0
261.0, 34.0, 232.0
262.0, 34.0, 231.0
263.0, 31.0, 226.0
264.0, 31.0, 226.0
265.0, 38.0, 225.0
266.0, 28.0, 227.0
267.0, 33.0, 231.0
268.0, 33.0, 231.0
269.0, 34.0, 226.0
270.0, 34.0, 230.0
271.0, 27.0, 234.0
272.0, 27.0, 234.0
273.0, 30.0, 231.0
274.0, 27.0, 234.0
275.0, 29.0, 229.0
276.0, 29.0, 229.0
277.0, 31.0, 230.0
278.0, 34.0, 231.0
279.0, 34.0, 231.0
280.0, 36.0, 219.0
281.0, 34.0, 221.0
282.0, 34.0, 221.0
283.0, 44.0, 218.0
