"tick", "Number of grass tile", "Number of rabbits"
1.0, 120.0, 72.0
2.0, 118.0, 121.0
3.0, 118.0, 121.0
4.0, 89.0, 185.0
5.0, 40.0, 253.0
6.0, 14.0, 275.0
7.0, 6.0, 247.0
8.0, 9.0, 227.0
9.0, 9.0, 227.0
10.0, 18.0, 217.0
11.0, 31.0, 184.0
12.0, 31.0, 184.0
13.0, 32.0, 197.0
14.0, 31.0, 198.0
15.0, 31.0, 198.0
16.0, 31.0, 200.0
17.0, 28.0, 208.0
18.0, 23.0, 219.0
19.0, 23.0, 219.0
20.0, 24.0, 224.0
21.0, 15.0, 216.0
22.0, 23.0, 207.0
23.0, 24.0, 202.0
24.0, 24.0, 202.0
25.0, 25.0, 204.0
26.0, 27.0, 204.0
27.0, 24.0, 210.0
28.0, 33.0, 205.0
29.0, 35.0, 193.0
30.0, 35.0, 193.0
31.0, 30.0, 196.0
32.0, 30.0, 196.0
33.0, 33.0, 212.0
34.0, 30.0, 217.0
35.0, 23.0, 217.0
36.0, 16.0, 216.0
37.0, 16.0, 216.0
38.0, 21.0, 217.0
39.0, 18.0, 218.0
40.0, 18.0, 218.0
41.0, 20.0, 197.0
42.0, 19.0, 217.0
43.0, 19.0, 217.0
44.0, 12.0, 212.0
45.0, 12.0, 217.0
46.0, 23.0, 213.0
47.0, 20.0, 201.0
48.0, 20.0, 201.0
49.0, 26.0, 216.0
50.0, 23.0, 211.0
51.0, 22.0, 210.0
52.0, 18.0, 206.0
53.0, 24.0, 209.0
54.0, 26.0, 203.0
55.0, 26.0, 203.0
56.0, 25.0, 196.0
57.0, 21.0, 213.0
58.0, 23.0, 215.0
59.0, 23.0, 215.0
60.0, 16.0, 229.0
61.0, 16.0, 229.0
62.0, 23.0, 210.0
63.0, 23.0, 210.0
64.0, 27.0, 198.0
65.0, 35.0, 186.0
66.0, 35.0, 186.0
67.0, 34.0, 195.0
68.0, 22.0, 219.0
69.0, 22.0, 219.0
70.0, 31.0, 212.0
71.0, 29.0, 201.0
72.0, 29.0, 204.0
73.0, 24.0, 214.0
74.0, 22.0, 217.0
75.0, 20.0, 219.0
76.0, 20.0, 219.0
77.0, 20.0, 208.0
78.0, 23.0, 206.0
79.0, 30.0, 203.0
80.0, 22.0, 211.0
81.0, 22.0, 211.0
82.0, 23.0, 214.0
83.0, 20.0, 214.0
84.0, 20.0, 214.0
85.0, 32.0, 200.0
86.0, 24.0, 201.0
87.0, 23.0, 213.0
88.0, 24.0, 202.0
89.0, 25.0, 212.0
90.0, 25.0, 212.0
91.0, 21.0, 204.0
92.0, 30.0, 201.0
93.0, 27.0, 207.0
94.0, 26.0, 206.0
95.0, 26.0, 206.0
96.0, 19.0, 218.0
97.0, 24.0, 214.0
98.0, 24.0, 214.0
99.0, 29.0, 205.0
100.0, 29.0, 205.0
101.0, 21.0, 210.0
102.0, 21.0, 210.0
103.0, 20.0, 218.0
104.0, 18.0, 209.0
105.0, 18.0, 209.0
106.0, 21.0, 208.0
107.0, 32.0, 195.0
108.0, 29.0, 190.0
109.0, 27.0, 204.0
110.0, 27.0, 204.0
111.0, 19.0, 230.0
112.0, 19.0, 230.0
113.0, 17.0, 213.0
114.0, 17.0, 213.0
115.0, 21.0, 211.0
116.0, 22.0, 195.0
117.0, 27.0, 200.0
118.0, 27.0, 200.0
119.0, 29.0, 213.0
120.0, 29.0, 213.0
121.0, 31.0, 203.0
122.0, 28.0, 216.0
123.0, 23.0, 209.0
124.0, 23.0, 209.0
125.0, 21.0, 211.0
126.0, 21.0, 211.0
127.0, 21.0, 205.0
128.0, 24.0, 201.0
129.0, 24.0, 201.0
130.0, 25.0, 203.0
131.0, 32.0, 199.0
132.0, 27.0, 207.0
133.0, 30.0, 206.0
134.0, 30.0, 206.0
135.0, 19.0, 214.0
136.0, 19.0, 214.0
137.0, 21.0, 221.0
138.0, 20.0, 209.0
139.0, 20.0, 209.0
140.0, 16.0, 202.0
141.0, 19.0, 202.0
142.0, 19.0, 202.0
143.0, 21.0, 202.0
144.0, 31.0, 197.0
145.0, 31.0, 197.0
146.0, 38.0, 193.0
147.0, 38.0, 193.0
148.0, 34.0, 193.0
149.0, 22.0, 207.0
150.0, 21.0, 224.0
151.0, 21.0, 224.0
152.0, 24.0, 213.0
153.0, 21.0, 198.0
154.0, 30.0, 197.0
155.0, 30.0, 197.0
156.0, 34.0, 191.0
