"tick", "Number of grass tile", "Number of rabbits"
1.0, 138.0, 33.0
2.0, 171.0, 34.0
3.0, 171.0, 34.0
4.0, 196.0, 38.0
5.0, 224.0, 42.0
6.0, 250.0, 47.0
7.0, 261.0, 77.0
8.0, 246.0, 95.0
9.0, 246.0, 95.0
10.0, 221.0, 120.0
11.0, 166.0, 164.0
12.0, 166.0, 164.0
13.0, 104.0, 217.0
14.0, 87.0, 237.0
15.0, 87.0, 237.0
16.0, 63.0, 258.0
17.0, 43.0, 270.0
18.0, 29.0, 280.0
19.0, 29.0, 280.0
20.0, 24.0, 273.0
21.0, 32.0, 277.0
22.0, 29.0, 280.0
23.0, 28.0, 269.0
24.0, 28.0, 269.0
25.0, 29.0, 261.0
26.0, 25.0, 256.0
27.0, 39.0, 256.0
28.0, 39.0, 251.0
29.0, 30.0, 257.0
30.0, 30.0, 257.0
31.0, 37.0, 245.0
32.0, 37.0, 245.0
33.0, 42.0, 241.0
34.0, 30.0, 232.0
35.0, 30.0, 231.0
36.0, 39.0, 228.0
37.0, 39.0, 228.0
38.0, 41.0, 229.0
39.0, 41.0, 226.0
40.0, 41.0, 226.0
41.0, 44.0, 233.0
42.0, 45.0, 236.0
43.0, 45.0, 236.0
44.0, 43.0, 235.0
45.0, 38.0, 235.0
46.0, 51.0, 232.0
47.0, 48.0, 231.0
48.0, 48.0, 231.0
49.0, 45.0, 235.0
50.0, 40.0, 236.0
51.0, 36.0, 238.0
52.0, 36.0, 244.0
53.0, 31.0, 249.0
54.0, 28.0, 245.0
55.0, 28.0, 245.0
56.0, 30.0, 246.0
57.0, 40.0, 251.0
58.0, 42.0, 245.0
59.0, 42.0, 245.0
60.0, 36.0, 235.0
61.0, 36.0, 235.0
62.0, 38.0, 239.0
63.0, 38.0, 239.0
64.0, 37.0, 244.0
65.0, 36.0, 246.0
66.0, 36.0, 246.0
67.0, 39.0, 242.0
68.0, 32.0, 238.0
69.0, 32.0, 238.0
70.0, 35.0, 238.0
71.0, 34.0, 237.0
72.0, 38.0, 234.0
73.0, 39.0, 236.0
74.0, 33.0, 238.0
75.0, 33.0, 241.0
76.0, 33.0, 241.0
77.0, 27.0, 245.0
78.0, 30.0, 244.0
79.0, 28.0, 243.0
80.0, 34.0, 241.0
81.0, 34.0, 241.0
82.0, 40.0, 245.0
83.0, 33.0, 246.0
84.0, 33.0, 246.0
85.0, 31.0, 241.0
86.0, 36.0, 238.0
87.0, 38.0, 236.0
88.0, 42.0, 237.0
89.0, 37.0, 238.0
90.0, 37.0, 238.0
91.0, 38.0, 235.0
92.0, 39.0, 240.0
93.0, 42.0, 239.0
94.0, 39.0, 240.0
95.0, 39.0, 240.0
96.0, 38.0, 234.0
97.0, 41.0, 241.0
98.0, 41.0, 241.0
99.0, 36.0, 239.0
100.0, 36.0, 239.0
101.0, 46.0, 240.0
102.0, 46.0, 240.0
103.0, 46.0, 224.0
104.0, 43.0, 225.0
105.0, 43.0, 225.0
106.0, 42.0, 227.0
107.0, 41.0, 231.0
108.0, 31.0, 235.0
109.0, 28.0, 233.0
110.0, 28.0, 233.0
111.0, 33.0, 241.0
112.0, 33.0, 241.0
113.0, 36.0, 239.0
114.0, 36.0, 239.0
115.0, 31.0, 240.0
116.0, 34.0, 243.0
117.0, 32.0, 243.0
118.0, 32.0, 243.0
119.0, 30.0, 246.0
120.0, 30.0, 246.0
121.0, 29.0, 243.0
122.0, 38.0, 234.0
123.0, 39.0, 234.0
124.0, 39.0, 234.0
125.0, 42.0, 231.0
126.0, 42.0, 231.0
127.0, 41.0, 231.0
128.0, 40.0, 230.0
