"tick", "Number of grass tile", "Number of rabbits"
1.0, 18.0, 53.0
2.0, 28.0, 50.0
3.0, 28.0, 50.0
4.0, 38.0, 47.0
5.0, 46.0, 45.0
6.0, 54.0, 39.0
7.0, 74.0, 32.0
8.0, 83.0, 29.0
9.0, 83.0, 29.0
10.0, 91.0, 28.0
11.0, 106.0, 23.0
12.0, 106.0, 23.0
13.0, 122.0, 19.0
14.0, 131.0, 17.0
15.0, 131.0, 17.0
16.0, 140.0, 16.0
17.0, 149.0, 15.0
18.0, 166.0, 14.0
19.0, 166.0, 14.0
20.0, 175.0, 13.0
21.0, 185.0, 10.0
22.0, 204.0, 8.0
23.0, 214.0, 5.0
24.0, 214.0, 5.0
25.0, 232.0, 3.0
26.0, 242.0, 3.0
27.0, 251.0, 3.0
28.0, 261.0, 3.0
29.0, 271.0, 3.0
30.0, 271.0, 3.0
31.0, 290.0, 3.0
32.0, 290.0, 3.0
33.0, 300.0, 3.0
34.0, 319.0, 3.0
35.0, 329.0, 2.0
36.0, 339.0, 2.0
37.0, 339.0, 2.0
38.0, 349.0, 2.0
39.0, 368.0, 2.0
40.0, 368.0, 2.0
41.0, 388.0, 2.0
42.0, 397.0, 2.0
43.0, 397.0, 2.0
44.0, 416.0, 2.0
45.0, 426.0, 2.0
46.0, 435.0, 2.0
47.0, 445.0, 1.0
48.0, 445.0, 1.0
49.0, 464.0, 1.0
50.0, 474.0, 1.0
51.0, 484.0, 1.0
52.0, 493.0, 1.0
53.0, 503.0, 1.0
54.0, 513.0, 1.0
55.0, 513.0, 1.0
56.0, 523.0, 1.0
57.0, 542.0, 1.0
58.0, 551.0, 1.0
59.0, 551.0, 1.0
60.0, 571.0, 2.0
61.0, 571.0, 2.0
62.0, 590.0, 1.0
63.0, 590.0, 1.0
64.0, 600.0, 1.0
65.0, 620.0, 1.0
66.0, 620.0, 1.0
67.0, 630.0, 1.0
68.0, 649.0, 1.0
69.0, 649.0, 1.0
70.0, 659.0, 1.0
71.0, 669.0, 1.0
72.0, 679.0, 1.0
73.0, 689.0, 1.0
74.0, 699.0, 1.0
75.0, 719.0, 1.0
76.0, 719.0, 1.0
77.0, 729.0, 1.0
78.0, 739.0, 1.0
79.0, 749.0, 1.0
80.0, 769.0, 1.0
81.0, 769.0, 1.0
82.0, 789.0, 1.0
83.0, 798.0, 1.0
84.0, 798.0, 1.0
85.0, 817.0, 1.0
86.0, 826.0, 1.0
87.0, 836.0, 1.0
88.0, 845.0, 1.0
89.0, 855.0, 1.0
90.0, 855.0, 1.0
91.0, 873.0, 2.0
92.0, 882.0, 2.0
93.0, 891.0, 2.0
94.0, 900.0, 2.0
95.0, 900.0, 2.0
96.0, 919.0, 2.0
97.0, 929.0, 3.0
98.0, 929.0, 3.0
99.0, 947.0, 3.0
100.0, 947.0, 3.0
101.0, 963.0, 4.0
102.0, 963.0, 4.0
103.0, 976.0, 6.0
104.0, 982.0, 6.0
105.0, 982.0, 6.0
106.0, 991.0, 6.0
107.0, 1008.0, 7.0
108.0, 1015.0, 7.0
109.0, 1024.0, 8.0
110.0, 1024.0, 8.0
111.0, 1040.0, 8.0
112.0, 1040.0, 8.0
113.0, 1058.0, 7.0
114.0, 1058.0, 7.0
115.0, 1066.0, 7.0
116.0, 1073.0, 7.0
117.0, 1086.0, 9.0
