"tick", "Number of grass tile", "Number of rabbits"
1.0, 187.0, 29.0
2.0, 263.0, 30.0
3.0, 263.0, 30.0
4.0, 335.0, 35.0
5.0, 358.0, 42.0
6.0, 343.0, 57.0
7.0, 311.0, 89.0
8.0, 283.0, 117.0
9.0, 283.0, 117.0
10.0, 240.0, 152.0
11.0, 132.0, 230.0
12.0, 132.0, 230.0
13.0, 61.0, 287.0
14.0, 44.0, 313.0
15.0, 44.0, 313.0
16.0, 26.0, 330.0
17.0, 25.0, 343.0
18.0, 21.0, 344.0
19.0, 21.0, 344.0
20.0, 16.0, 347.0
21.0, 19.0, 349.0
22.0, 17.0, 354.0
23.0, 13.0, 357.0
24.0, 13.0, 357.0
25.0, 9.0, 366.0
26.0, 10.0, 371.0
27.0, 13.0, 369.0
28.0, 11.0, 366.0
29.0, 14.0, 369.0
30.0, 14.0, 369.0
31.0, 10.0, 365.0
32.0, 10.0, 365.0
33.0, 9.0, 362.0
34.0, 8.0, 366.0
35.0, 10.0, 364.0
36.0, 13.0, 361.0
37.0, 13.0, 361.0
38.0, 15.0, 369.0
39.0, 11.0, 363.0
40.0, 11.0, 363.0
41.0, 15.0, 358.0
42.0, 13.0, 357.0
43.0, 13.0, 357.0
44.0, 11.0, 361.0
45.0, 11.0, 359.0
46.0, 12.0, 357.0
47.0, 8.0, 363.0
48.0, 8.0, 363.0
49.0, 13.0, 362.0
50.0, 8.0, 362.0
51.0, 10.0, 364.0
52.0, 11.0, 360.0
53.0, 9.0, 361.0
54.0, 10.0, 362.0
55.0, 10.0, 362.0
56.0, 14.0, 365.0
57.0, 10.0, 372.0
58.0, 6.0, 377.0
59.0, 6.0, 377.0
60.0, 9.0, 373.0
61.0, 9.0, 373.0
62.0, 9.0, 371.0
63.0, 9.0, 371.0
64.0, 7.0, 365.0
65.0, 13.0, 367.0
66.0, 13.0, 367.0
67.0, 13.0, 363.0
68.0, 13.0, 360.0
69.0, 13.0, 360.0
70.0, 14.0, 361.0
71.0, 7.0, 374.0
72.0, 7.0, 374.0
73.0, 6.0, 379.0
74.0, 10.0, 373.0
75.0, 6.0, 365.0
76.0, 6.0, 365.0
77.0, 10.0, 371.0
78.0, 10.0, 367.0
79.0, 9.0, 365.0
80.0, 7.0, 361.0
81.0, 7.0, 361.0
82.0, 10.0, 363.0
83.0, 9.0, 360.0
84.0, 9.0, 360.0
85.0, 16.0, 359.0
86.0, 18.0, 361.0
87.0, 18.0, 361.0
88.0, 13.0, 366.0
89.0, 11.0, 368.0
90.0, 11.0, 368.0
91.0, 7.0, 366.0
92.0, 7.0, 373.0
93.0, 8.0, 369.0
94.0, 9.0, 363.0
95.0, 9.0, 363.0
96.0, 14.0, 364.0
97.0, 9.0, 362.0
98.0, 9.0, 362.0
99.0, 12.0, 357.0
100.0, 12.0, 357.0
101.0, 8.0, 361.0
102.0, 8.0, 361.0
103.0, 6.0, 361.0
104.0, 12.0, 354.0
105.0, 12.0, 354.0
106.0, 16.0, 353.0
107.0, 23.0, 352.0
108.0, 15.0, 356.0
109.0, 10.0, 356.0
110.0, 10.0, 356.0
111.0, 10.0, 358.0
112.0, 10.0, 358.0
113.0, 12.0, 357.0
114.0, 12.0, 357.0
115.0, 9.0, 359.0
116.0, 9.0, 359.0
117.0, 10.0, 360.0
118.0, 10.0, 360.0
119.0, 11.0, 360.0
120.0, 11.0, 360.0
121.0, 7.0, 365.0
122.0, 10.0, 361.0
123.0, 15.0, 360.0
124.0, 15.0, 360.0
125.0, 13.0, 357.0
126.0, 13.0, 357.0
127.0, 13.0, 362.0
128.0, 12.0, 359.0
129.0, 12.0, 359.0
130.0, 5.0, 365.0
131.0, 10.0, 364.0
132.0, 10.0, 363.0
133.0, 7.0, 369.0
134.0, 7.0, 369.0
135.0, 9.0, 361.0
136.0, 9.0, 361.0
137.0, 15.0, 357.0
138.0, 13.0, 363.0
139.0, 13.0, 363.0
140.0, 14.0, 359.0
141.0, 13.0, 361.0
142.0, 13.0, 361.0
143.0, 9.0, 364.0
144.0, 8.0, 368.0
145.0, 8.0, 368.0
146.0, 8.0, 371.0
147.0, 8.0, 371.0
148.0, 8.0, 368.0
149.0, 8.0, 374.0
150.0, 10.0, 372.0
151.0, 10.0, 372.0
152.0, 10.0, 372.0
153.0, 6.0, 370.0
154.0, 9.0, 372.0
155.0, 9.0, 372.0
156.0, 7.0, 374.0
157.0, 5.0, 373.0
158.0, 4.0, 375.0
159.0, 3.0, 372.0
160.0, 4.0, 373.0
161.0, 4.0, 373.0
162.0, 8.0, 369.0
163.0, 9.0, 363.0
164.0, 6.0, 364.0
165.0, 6.0, 364.0
166.0, 13.0, 368.0
167.0, 11.0, 366.0
168.0, 10.0, 368.0
169.0, 7.0, 367.0
170.0, 11.0, 364.0
171.0, 11.0, 364.0
172.0, 9.0, 359.0
173.0, 14.0, 362.0
174.0, 5.0, 358.0
175.0, 5.0, 358.0
176.0, 7.0, 366.0
177.0, 9.0, 367.0
178.0, 10.0, 365.0
179.0, 10.0, 365.0
180.0, 12.0, 372.0
181.0, 9.0, 376.0
182.0, 9.0, 376.0
183.0, 6.0, 376.0
184.0, 6.0, 376.0
185.0, 6.0, 370.0
186.0, 6.0, 370.0
187.0, 11.0, 368.0
188.0, 8.0, 371.0
189.0, 6.0, 363.0
190.0, 7.0, 369.0
191.0, 7.0, 369.0
192.0, 7.0, 370.0
193.0, 10.0, 374.0
194.0, 8.0, 374.0
195.0, 8.0, 374.0
196.0, 5.0, 376.0
197.0, 5.0, 373.0
198.0, 7.0, 374.0
199.0, 4.0, 371.0
200.0, 5.0, 369.0
201.0, 5.0, 369.0
202.0, 5.0, 368.0
203.0, 7.0, 361.0
204.0, 7.0, 361.0
205.0, 12.0, 368.0
206.0, 12.0, 368.0
207.0, 11.0, 368.0
208.0, 9.0, 365.0
209.0, 9.0, 365.0
210.0, 8.0, 364.0
211.0, 10.0, 363.0
212.0, 4.0, 366.0
213.0, 10.0, 364.0
214.0, 12.0, 364.0
215.0, 7.0, 368.0
216.0, 7.0, 368.0
217.0, 5.0, 368.0
218.0, 7.0, 366.0
219.0, 9.0, 368.0
220.0, 9.0, 368.0
221.0, 8.0, 366.0
222.0, 6.0, 372.0
223.0, 7.0, 368.0
224.0, 7.0, 368.0
225.0, 10.0, 364.0
226.0, 7.0, 365.0
227.0, 7.0, 365.0
228.0, 14.0, 366.0
229.0, 6.0, 366.0
230.0, 6.0, 366.0
231.0, 9.0, 364.0
232.0, 9.0, 364.0
233.0, 5.0, 366.0
234.0, 5.0, 366.0
235.0, 12.0, 369.0
236.0, 8.0, 366.0
237.0, 8.0, 366.0
238.0, 10.0, 359.0
239.0, 10.0, 359.0
240.0, 8.0, 367.0
241.0, 6.0, 367.0
242.0, 6.0, 367.0
243.0, 11.0, 370.0
244.0, 11.0, 370.0
245.0, 12.0, 370.0
246.0, 12.0, 370.0
247.0, 8.0, 369.0
248.0, 5.0, 367.0
249.0, 7.0, 365.0
250.0, 7.0, 365.0
251.0, 7.0, 365.0
252.0, 6.0, 374.0
253.0, 5.0, 371.0
254.0, 6.0, 375.0
255.0, 2.0, 378.0
256.0, 3.0, 372.0
257.0, 3.0, 372.0
258.0, 5.0, 373.0
259.0, 6.0, 371.0
260.0, 6.0, 371.0
261.0, 9.0, 374.0
262.0, 6.0, 370.0
263.0, 7.0, 376.0
264.0, 7.0, 376.0
265.0, 9.0, 375.0
266.0, 8.0, 373.0
267.0, 8.0, 373.0
268.0, 8.0, 373.0
269.0, 6.0, 372.0
270.0, 8.0, 370.0
271.0, 6.0, 370.0
272.0, 6.0, 370.0
273.0, 5.0, 367.0
274.0, 6.0, 371.0
275.0, 10.0, 370.0
276.0, 10.0, 370.0
277.0, 6.0, 369.0
278.0, 7.0, 370.0
279.0, 7.0, 370.0
280.0, 9.0, 368.0
281.0, 8.0, 364.0
282.0, 8.0, 364.0
283.0, 12.0, 360.0
284.0, 9.0, 362.0
285.0, 10.0, 355.0
286.0, 10.0, 355.0
287.0, 13.0, 362.0
288.0, 9.0, 359.0
289.0, 10.0, 370.0
290.0, 10.0, 370.0
291.0, 9.0, 372.0
292.0, 9.0, 372.0
293.0, 4.0, 363.0
294.0, 4.0, 363.0
295.0, 10.0, 369.0
296.0, 6.0, 369.0
297.0, 8.0, 370.0
298.0, 6.0, 371.0
299.0, 6.0, 371.0
300.0, 9.0, 374.0
301.0, 9.0, 377.0
302.0, 9.0, 377.0
303.0, 6.0, 380.0
304.0, 2.0, 374.0
305.0, 9.0, 368.0
306.0, 9.0, 365.0
307.0, 9.0, 365.0
308.0, 9.0, 363.0
309.0, 9.0, 361.0
310.0, 9.0, 361.0
311.0, 7.0, 365.0
312.0, 11.0, 373.0
313.0, 6.0, 372.0
314.0, 6.0, 372.0
315.0, 8.0, 371.0
316.0, 7.0, 369.0
317.0, 6.0, 367.0
318.0, 6.0, 367.0
319.0, 6.0, 366.0
320.0, 12.0, 365.0
321.0, 10.0, 362.0
322.0, 8.0, 368.0
323.0, 8.0, 368.0
324.0, 10.0, 368.0
325.0, 11.0, 364.0
326.0, 11.0, 364.0
327.0, 13.0, 361.0
328.0, 15.0, 361.0
329.0, 15.0, 361.0
330.0, 8.0, 364.0
331.0, 8.0, 364.0
332.0, 7.0, 369.0
333.0, 7.0, 369.0
334.0, 7.0, 374.0
335.0, 8.0, 371.0
336.0, 12.0, 370.0
337.0, 12.0, 370.0
338.0, 8.0, 366.0
339.0, 8.0, 366.0
340.0, 12.0, 361.0
341.0, 12.0, 361.0
342.0, 10.0, 361.0
343.0, 7.0, 363.0
344.0, 7.0, 360.0
345.0, 8.0, 364.0
346.0, 9.0, 364.0
347.0, 7.0, 362.0
348.0, 9.0, 359.0
349.0, 9.0, 366.0
350.0, 9.0, 366.0
351.0, 14.0, 370.0
352.0, 10.0, 371.0
353.0, 7.0, 374.0
354.0, 7.0, 374.0
355.0, 6.0, 366.0
356.0, 6.0, 369.0
357.0, 6.0, 369.0
358.0, 4.0, 377.0
359.0, 8.0, 376.0
360.0, 9.0, 373.0
361.0, 6.0, 373.0
362.0, 6.0, 373.0
363.0, 10.0, 371.0
364.0, 10.0, 371.0
365.0, 7.0, 371.0
366.0, 7.0, 369.0
367.0, 4.0, 368.0
368.0, 4.0, 368.0
369.0, 10.0, 365.0
370.0, 9.0, 368.0
371.0, 9.0, 368.0
372.0, 10.0, 368.0
373.0, 6.0, 368.0
374.0, 14.0, 366.0
375.0, 14.0, 366.0
376.0, 13.0, 369.0
377.0, 8.0, 371.0
378.0, 9.0, 365.0
379.0, 13.0, 366.0
380.0, 13.0, 366.0
381.0, 12.0, 358.0
382.0, 12.0, 358.0
383.0, 11.0, 358.0
384.0, 13.0, 365.0
385.0, 12.0, 363.0
386.0, 11.0, 362.0
387.0, 12.0, 360.0
388.0, 12.0, 360.0
389.0, 15.0, 359.0
390.0, 11.0, 353.0
391.0, 13.0, 356.0
392.0, 13.0, 356.0
393.0, 14.0, 358.0
394.0, 14.0, 358.0
395.0, 10.0, 365.0
396.0, 10.0, 368.0
397.0, 9.0, 367.0
398.0, 13.0, 367.0
399.0, 13.0, 367.0
400.0, 8.0, 368.0
401.0, 10.0, 372.0
402.0, 10.0, 374.0
403.0, 9.0, 368.0
404.0, 8.0, 366.0
405.0, 11.0, 365.0
406.0, 11.0, 365.0
407.0, 11.0, 364.0
408.0, 7.0, 367.0
409.0, 7.0, 367.0
410.0, 7.0, 368.0
411.0, 14.0, 366.0
412.0, 14.0, 366.0
413.0, 8.0, 369.0
414.0, 11.0, 368.0
415.0, 10.0, 368.0
416.0, 13.0, 366.0
417.0, 13.0, 366.0
418.0, 10.0, 363.0
419.0, 10.0, 365.0
420.0, 7.0, 367.0
421.0, 13.0, 365.0
422.0, 16.0, 365.0
423.0, 16.0, 365.0
424.0, 13.0, 361.0
425.0, 19.0, 363.0
426.0, 12.0, 363.0
427.0, 11.0, 365.0
428.0, 10.0, 368.0
429.0, 11.0, 367.0
430.0, 11.0, 367.0
431.0, 9.0, 372.0
432.0, 9.0, 372.0
433.0, 6.0, 372.0
434.0, 6.0, 372.0
435.0, 5.0, 368.0
436.0, 9.0, 367.0
437.0, 9.0, 367.0
438.0, 7.0, 372.0
439.0, 7.0, 372.0
440.0, 6.0, 376.0
441.0, 5.0, 374.0
442.0, 5.0, 374.0
443.0, 8.0, 364.0
444.0, 8.0, 364.0
445.0, 10.0, 365.0
446.0, 9.0, 364.0
447.0, 8.0, 361.0
448.0, 13.0, 366.0
449.0, 13.0, 366.0
450.0, 15.0, 360.0
451.0, 10.0, 366.0
452.0, 6.0, 360.0
453.0, 9.0, 362.0
454.0, 9.0, 362.0
455.0, 13.0, 350.0
456.0, 13.0, 350.0
457.0, 20.0, 352.0
458.0, 14.0, 358.0
459.0, 8.0, 362.0
460.0, 8.0, 364.0
461.0, 8.0, 364.0
462.0, 12.0, 365.0
463.0, 7.0, 364.0
464.0, 7.0, 364.0
465.0, 13.0, 367.0
466.0, 12.0, 367.0
467.0, 12.0, 367.0
468.0, 7.0, 366.0
469.0, 9.0, 368.0
470.0, 8.0, 364.0
471.0, 8.0, 364.0
472.0, 6.0, 361.0
473.0, 10.0, 355.0
474.0, 11.0, 353.0
475.0, 13.0, 356.0
476.0, 13.0, 356.0
477.0, 11.0, 355.0
478.0, 12.0, 352.0
479.0, 14.0, 357.0
480.0, 14.0, 357.0
481.0, 14.0, 352.0
482.0, 9.0, 361.0
483.0, 11.0, 360.0
484.0, 13.0, 358.0
485.0, 12.0, 357.0
486.0, 8.0, 355.0
487.0, 8.0, 355.0
488.0, 9.0, 358.0
489.0, 17.0, 365.0
490.0, 17.0, 365.0
491.0, 8.0, 365.0
492.0, 8.0, 367.0
493.0, 8.0, 372.0
494.0, 8.0, 372.0
495.0, 16.0, 360.0
496.0, 10.0, 366.0
497.0, 10.0, 366.0
498.0, 12.0, 362.0
499.0, 9.0, 363.0
500.0, 8.0, 365.0
501.0, 12.0, 362.0
502.0, 12.0, 362.0
503.0, 13.0, 362.0
504.0, 9.0, 363.0
505.0, 12.0, 363.0
506.0, 12.0, 363.0
507.0, 11.0, 367.0
508.0, 11.0, 362.0
509.0, 10.0, 367.0
510.0, 7.0, 363.0
511.0, 6.0, 362.0
512.0, 11.0, 364.0
513.0, 11.0, 364.0
514.0, 6.0, 369.0
515.0, 10.0, 369.0
516.0, 10.0, 369.0
517.0, 9.0, 378.0
518.0, 9.0, 378.0
519.0, 8.0, 374.0
