"tick", "Number of grass tile", "Number of rabbits"
1.0, 184.0, 29.0
2.0, 262.0, 32.0
3.0, 262.0, 32.0
4.0, 333.0, 35.0
5.0, 362.0, 38.0
6.0, 348.0, 52.0
7.0, 317.0, 83.0
8.0, 288.0, 112.0
9.0, 288.0, 112.0
10.0, 254.0, 138.0
11.0, 168.0, 209.0
12.0, 168.0, 209.0
13.0, 84.0, 275.0
14.0, 56.0, 304.0
15.0, 56.0, 304.0
16.0, 37.0, 316.0
17.0, 30.0, 324.0
18.0, 18.0, 346.0
19.0, 18.0, 346.0
20.0, 22.0, 352.0
21.0, 18.0, 363.0
22.0, 11.0, 367.0
23.0, 8.0, 369.0
24.0, 8.0, 369.0
25.0, 7.0, 372.0
26.0, 7.0, 366.0
27.0, 11.0, 365.0
28.0, 14.0, 361.0
29.0, 13.0, 360.0
30.0, 13.0, 360.0
31.0, 8.0, 367.0
32.0, 8.0, 367.0
33.0, 11.0, 366.0
34.0, 9.0, 366.0
35.0, 4.0, 364.0
36.0, 12.0, 361.0
37.0, 12.0, 361.0
38.0, 8.0, 360.0
39.0, 13.0, 368.0
40.0, 13.0, 368.0
41.0, 7.0, 365.0
42.0, 15.0, 363.0
43.0, 15.0, 363.0
44.0, 12.0, 364.0
45.0, 11.0, 360.0
46.0, 10.0, 359.0
47.0, 10.0, 356.0
48.0, 10.0, 356.0
49.0, 9.0, 370.0
50.0, 9.0, 367.0
51.0, 9.0, 369.0
52.0, 9.0, 366.0
53.0, 7.0, 370.0
54.0, 11.0, 370.0
55.0, 11.0, 370.0
56.0, 7.0, 372.0
57.0, 8.0, 371.0
58.0, 8.0, 367.0
59.0, 8.0, 367.0
60.0, 12.0, 365.0
61.0, 12.0, 365.0
62.0, 8.0, 367.0
63.0, 8.0, 367.0
64.0, 5.0, 372.0
65.0, 5.0, 368.0
66.0, 5.0, 368.0
67.0, 9.0, 369.0
68.0, 8.0, 365.0
69.0, 8.0, 365.0
70.0, 9.0, 364.0
71.0, 10.0, 362.0
72.0, 11.0, 364.0
73.0, 10.0, 361.0
74.0, 13.0, 362.0
75.0, 20.0, 354.0
76.0, 20.0, 354.0
77.0, 14.0, 359.0
78.0, 15.0, 364.0
79.0, 6.0, 366.0
80.0, 8.0, 366.0
81.0, 8.0, 366.0
82.0, 11.0, 367.0
83.0, 9.0, 370.0
84.0, 9.0, 370.0
85.0, 5.0, 369.0
86.0, 11.0, 360.0
87.0, 15.0, 355.0
88.0, 16.0, 358.0
89.0, 14.0, 355.0
90.0, 14.0, 355.0
91.0, 16.0, 358.0
92.0, 12.0, 362.0
93.0, 16.0, 362.0
94.0, 14.0, 365.0
95.0, 14.0, 365.0
96.0, 10.0, 368.0
97.0, 7.0, 366.0
98.0, 7.0, 366.0
99.0, 12.0, 371.0
100.0, 12.0, 371.0
101.0, 9.0, 368.0
102.0, 9.0, 368.0
103.0, 12.0, 360.0
104.0, 10.0, 363.0
105.0, 10.0, 363.0
106.0, 12.0, 363.0
107.0, 11.0, 363.0
108.0, 6.0, 375.0
109.0, 6.0, 371.0
110.0, 6.0, 371.0
111.0, 3.0, 377.0
112.0, 3.0, 377.0
113.0, 6.0, 373.0
114.0, 6.0, 373.0
115.0, 15.0, 377.0
116.0, 7.0, 377.0
117.0, 7.0, 371.0
118.0, 7.0, 371.0
119.0, 9.0, 366.0
120.0, 9.0, 366.0
121.0, 8.0, 370.0
122.0, 7.0, 370.0
123.0, 10.0, 370.0
124.0, 10.0, 370.0
125.0, 9.0, 365.0
126.0, 9.0, 365.0
127.0, 12.0, 365.0
128.0, 5.0, 368.0
129.0, 5.0, 368.0
130.0, 6.0, 368.0
131.0, 7.0, 373.0
132.0, 4.0, 370.0
133.0, 8.0, 371.0
134.0, 8.0, 371.0
135.0, 10.0, 372.0
136.0, 10.0, 372.0
137.0, 10.0, 363.0
138.0, 7.0, 370.0
139.0, 7.0, 370.0
140.0, 5.0, 372.0
141.0, 7.0, 367.0
