"tick", "Number of grass tile", "Number of rabbits"
1.0, 230.0, 29.0
2.0, 346.0, 35.0
3.0, 346.0, 35.0
4.0, 357.0, 43.0
5.0, 351.0, 49.0
6.0, 335.0, 65.0
7.0, 284.0, 116.0
8.0, 260.0, 140.0
9.0, 260.0, 140.0
10.0, 223.0, 177.0
11.0, 108.0, 279.0
12.0, 108.0, 279.0
13.0, 29.0, 348.0
14.0, 16.0, 364.0
15.0, 16.0, 364.0
16.0, 12.0, 378.0
17.0, 11.0, 379.0
18.0, 7.0, 385.0
19.0, 7.0, 385.0
20.0, 6.0, 388.0
21.0, 2.0, 386.0
22.0, 4.0, 381.0
23.0, 7.0, 386.0
24.0, 7.0, 386.0
25.0, 0.0, 392.0
26.0, 2.0, 390.0
27.0, 1.0, 388.0
28.0, 3.0, 385.0
29.0, 6.0, 391.0
30.0, 6.0, 391.0
31.0, 3.0, 389.0
32.0, 3.0, 389.0
33.0, 5.0, 387.0
34.0, 5.0, 387.0
35.0, 3.0, 388.0
36.0, 3.0, 385.0
37.0, 3.0, 385.0
38.0, 3.0, 388.0
39.0, 4.0, 391.0
40.0, 4.0, 391.0
41.0, 2.0, 392.0
42.0, 0.0, 394.0
43.0, 0.0, 394.0
44.0, 4.0, 387.0
45.0, 4.0, 387.0
46.0, 4.0, 383.0
47.0, 5.0, 383.0
48.0, 5.0, 383.0
49.0, 4.0, 388.0
50.0, 3.0, 388.0
51.0, 7.0, 389.0
52.0, 3.0, 389.0
53.0, 2.0, 387.0
54.0, 2.0, 390.0
55.0, 2.0, 390.0
56.0, 5.0, 386.0
57.0, 6.0, 382.0
58.0, 4.0, 387.0
59.0, 4.0, 387.0
60.0, 2.0, 390.0
61.0, 2.0, 390.0
62.0, 4.0, 390.0
63.0, 4.0, 390.0
64.0, 3.0, 397.0
65.0, 0.0, 394.0
66.0, 0.0, 394.0
67.0, 0.0, 393.0
68.0, 2.0, 385.0
69.0, 2.0, 385.0
70.0, 5.0, 387.0
71.0, 4.0, 386.0
72.0, 1.0, 389.0
73.0, 3.0, 389.0
74.0, 3.0, 388.0
75.0, 3.0, 388.0
76.0, 3.0, 388.0
77.0, 4.0, 391.0
78.0, 3.0, 391.0
79.0, 1.0, 390.0
80.0, 5.0, 390.0
81.0, 5.0, 390.0
82.0, 4.0, 389.0
83.0, 3.0, 391.0
84.0, 3.0, 391.0
85.0, 3.0, 390.0
86.0, 3.0, 389.0
87.0, 5.0, 388.0
88.0, 3.0, 392.0
89.0, 4.0, 390.0
90.0, 4.0, 390.0
91.0, 0.0, 396.0
92.0, 1.0, 395.0
93.0, 0.0, 397.0
94.0, 1.0, 390.0
95.0, 1.0, 390.0
96.0, 3.0, 386.0
97.0, 3.0, 393.0
98.0, 3.0, 393.0
99.0, 2.0, 391.0
100.0, 2.0, 391.0
101.0, 3.0, 391.0
102.0, 3.0, 391.0
103.0, 4.0, 392.0
104.0, 3.0, 387.0
105.0, 3.0, 387.0
106.0, 6.0, 385.0
107.0, 5.0, 387.0
108.0, 4.0, 387.0
109.0, 3.0, 386.0
110.0, 3.0, 386.0
111.0, 4.0, 386.0
112.0, 4.0, 386.0
113.0, 2.0, 387.0
114.0, 2.0, 387.0
115.0, 6.0, 388.0
116.0, 2.0, 389.0
117.0, 5.0, 388.0
118.0, 5.0, 388.0
119.0, 3.0, 385.0
120.0, 3.0, 385.0
121.0, 2.0, 391.0
122.0, 4.0, 388.0
123.0, 5.0, 387.0
124.0, 5.0, 387.0
125.0, 1.0, 388.0
126.0, 1.0, 388.0
127.0, 2.0, 391.0
128.0, 4.0, 387.0
129.0, 4.0, 387.0
130.0, 4.0, 392.0
131.0, 2.0, 388.0
132.0, 8.0, 385.0
133.0, 6.0, 385.0
134.0, 6.0, 385.0
135.0, 4.0, 389.0
136.0, 4.0, 389.0
137.0, 2.0, 390.0
138.0, 6.0, 389.0
139.0, 6.0, 389.0
140.0, 3.0, 387.0
141.0, 3.0, 388.0
142.0, 3.0, 388.0
143.0, 2.0, 390.0
144.0, 3.0, 391.0
145.0, 3.0, 391.0
146.0, 3.0, 392.0
147.0, 3.0, 392.0
148.0, 3.0, 394.0
149.0, 2.0, 389.0
150.0, 4.0, 388.0
151.0, 4.0, 388.0
152.0, 2.0, 393.0
153.0, 1.0, 391.0
154.0, 4.0, 391.0
155.0, 4.0, 391.0
156.0, 3.0, 391.0
157.0, 6.0, 389.0
158.0, 5.0, 389.0
159.0, 3.0, 387.0
160.0, 6.0, 385.0
161.0, 6.0, 385.0
162.0, 5.0, 387.0
163.0, 4.0, 391.0
164.0, 1.0, 392.0
165.0, 1.0, 392.0
166.0, 3.0, 393.0
167.0, 4.0, 390.0
168.0, 5.0, 388.0
169.0, 6.0, 386.0
170.0, 3.0, 386.0
171.0, 3.0, 386.0
172.0, 7.0, 385.0
173.0, 5.0, 386.0
174.0, 5.0, 389.0
175.0, 5.0, 389.0
176.0, 3.0, 389.0
177.0, 1.0, 394.0
178.0, 1.0, 392.0
179.0, 1.0, 392.0
180.0, 2.0, 391.0
181.0, 0.0, 397.0
182.0, 0.0, 397.0
183.0, 0.0, 391.0
184.0, 0.0, 391.0
185.0, 2.0, 392.0
186.0, 2.0, 392.0
187.0, 0.0, 393.0
188.0, 1.0, 392.0
189.0, 2.0, 394.0
190.0, 2.0, 394.0
191.0, 2.0, 394.0
192.0, 3.0, 389.0
193.0, 3.0, 387.0
194.0, 4.0, 380.0
195.0, 4.0, 380.0
196.0, 8.0, 379.0
197.0, 5.0, 382.0
198.0, 4.0, 385.0
199.0, 1.0, 388.0
200.0, 2.0, 388.0
201.0, 2.0, 388.0
202.0, 2.0, 390.0
203.0, 1.0, 392.0
204.0, 1.0, 392.0
205.0, 2.0, 386.0
206.0, 2.0, 386.0
207.0, 1.0, 395.0
208.0, 3.0, 391.0
209.0, 3.0, 391.0
210.0, 3.0, 391.0
211.0, 1.0, 392.0
212.0, 1.0, 391.0
213.0, 3.0, 390.0
214.0, 3.0, 390.0
215.0, 5.0, 386.0
216.0, 5.0, 386.0
217.0, 5.0, 385.0
218.0, 6.0, 389.0
219.0, 5.0, 384.0
220.0, 5.0, 384.0
